# Synonym groups for interactive-fiction verbs.  GENERATED; do not hand-edit.
#
# Regenerate with `verb-synonyms-gen` — see crates/verb-synonyms-gen/README.md.
# Derived from WordNet 3.0 (Princeton University) and the 12dicts 6.0.2
# lemmatized frequency list (Alan Beale, under the AGID terms).  The notices
# both licences require are in THIRD-PARTY-NOTICES.md at the repository root.
#
# FORMAT: one group per line, members separated by TABS.  There is no key
# column — every member is equal, and a word may appear in SEVERAL groups, one
# per sense.  A tab is the separator because a member may itself contain a
# space (`turn on`), and no dictionary word contains a tab.
#
# A group is one of two things, and neither is ever merged with the other:
#
#   * ONE VERB ENTRY some stories declare — the spellings a game's own author
#     wrote on a single verb, which is that author saying these words are one
#     action.  Believed only where several stories agree, and greppable in
#     crates/verb-synonyms-gen/if_groups.tsv, which is where a row's provenance
#     can be looked up: this file is members and nothing else.
#   * ONE WORDNET SYNSET, filtered to words a player might type, plus — where a
#     synset no story could match has a hypernym that one can — that synset
#     unioned with its immediate hypernym.  Exactly one hop, never chained.
#
# WHERE THE TWO DISAGREE, THE GAMES WIN.  A game-derived group comes before
# every synset containing the same word, because a game author writing
# `Verb 'examine' 'x' 'inspect'` has stated what a word means IN A PARSER, and
# that is the only question this table asks.  WordNet is not overruled, only
# outranked: its groups still follow, and reach a story that implements a word
# no game in the corpus grouped.
#
# AT LOOKUP, two rules define what this data means:
#   1. Lemmatise the player's word FIRST.  Members are base forms, because an IF
#      parser accepts the imperative; `illuminated` never arrives here, and if
#      the consumer skips this step a miss looks like a hole in the data instead
#      of a missing step in the caller.
#   2. Intersect the group with THIS story's dictionary and show only what
#      survives, then drop the word the player actually typed — it is in the
#      group by construction and it is the one word known to have failed.
#
# LINE ORDER IS SIGNIFICANT — DO NOT SORT THIS FILE.  The groups containing any
# given word appear best-guess first: that word's game-derived groups, then its
# synsets in WordNet's own sense order, commonest sense first.  A consumer can
# therefore walk them and stop after three or four dictionary matches.  Sorting
# the file alphabetically destroys that signal silently.  Member order within a
# line is significant too: verbs the corpus actually uses come first, commonest
# first.
#
# Built with: sense-cap 6 band-cap 16 group-cap 12 hyponym-cap 25 gap-fill true
#             game-support 2 game-group-cap 13
# From 15454 harvested IF spellings, 2467 of which WordNet knows as verbs.
# 3467 groups, 12298 memberships.
accuse	impeach	incriminate
admire	look up to
seize	capture	appropriate	conquer
study	consider	factor	factor in	factor out
quit	throw in	give up	drop out	chuck up the sponge	drop by the wayside	fall by the wayside	throw in the towel
stop	cease	quit	give up	discontinue	cheese	lay off
quit	step down	resign	leave office
quit	depart	take leave
quit	relinquish	renounce
step down	weaken
stop	halt	block
stop	stop over
stop	break	break off	discontinue	disrupt	interrupt
stop	cease	terminate	end	finish	go	run low	run short
stop	cease	terminate	end	finish	disappear	go away	vanish
stop	cease	terminate	end	finish	conclude
stop	block	block up	bar	barricade	block off	blockade
seal off	blockade
shut off	close off	block off
quote	cite
repeat	cite	reiterate	restate	retell
repeat	duplicate	replicate	double
show	bear witness	cite	evidence	prove	testify
summon	cite	summons
race	hie	rush	belt along	buck	bucket along	hasten	pelt along	rush along	shoot down	speed	step on it
run	race	campaign
run	lean	tend	be given	incline	suffer
run	hunt	course	hunt down	track down
trace	hunt	hound
zip	hurry	speed
rush	hasten	hurry	look sharp
rush	stimulate	hasten	induce
range	straddle
reach	get through	contact	get hold of
reach	achieve	accomplish	attain	average
reach	achieve	accomplish	attain	manage
reach	extend to
wield	handle	manage
read	take	study	learn	prepare
read	take	study	learn	exercise	practice
study	bone	bone up	drum	grind away	mug up
study	meditate	contemplate
take	ask	call for	demand	need	require	claim	exact	involve	necessitate	postulate
teach	instruct	learn	develop	educate	prepare
teach	instruct	learn	reinforce	reward
teach	instruct	learn	ground
train	civilize	cultivate	educate	school
take	aim	direct	train	take aim	target
recall	echo
withdraw	recall	call in	call back
remember	recall	recollect	think	call up	retrieve	call back	recognize
remember	think of	retain
return	recall	come back	hark back
return	bring back	take back
swallow	withdraw	take back
refuse	reject	turn down	turn away
turn away	avert
turn down	reject	disdain	freeze off	scorn	spurn
refuse	reject	resist
resist	balk
relax	unwind	loosen up	slow down
relax	loose
remember	think back
remember	commend
remember	think of	characterize	qualify
think about	toy with	flirt with	entertain	think of
remove	absent
remove	transfer
remove	get rid of
remove	take out	move out
take out	unpack
remove	bench
rent	lease	engage	charter	hire
repair	revive	animate	quicken	recreate	renovate
revive	resurrect
repair	amend	rectify	remedy
repair	resort
repeat	cycle	recur
resort	fall back	recur
repeat	reprise
request	declare oneself	pop the question	propose
resume	sum up	summarize
sum	sum up	summarize
tally	add	sum	total	add together	add up	sum up	tot	tot up	tote up
return	retort	come back	rejoin	repay
return	give back	refund	repay
return	deliver	render
return	yield	generate	render
reveal	disclose	discover	expose	divulge	unwrap	let out	bring out	give away	let on
revive	come to	resuscitate
ride	taunt	tease	bait	banter	jolly	kid	rag	rally	tantalize
ride	tube
ride	bicycle	bike	cycle	wheel
ride	cycle	motorbike	motorcycle
ride	boat
ride	tool	tool around
work	work on	process	tool
work	work on	process	till
work	exercise	work out
roll	wrap	wind	twine
wind	nose	scent
smell	nose	scent
smell	smack	reek
smell	sense	smell out
taste	smack
smack	peck
wind	wind up
wrap	enclose	envelop	tube
rub	puree	strain
rub	scratch	fret	chafe	fray
scratch	scrape	scratch up
rub	scratch	itch
scrape	genuflect	kowtow
scrub	scratch	cancel	call off
scratch	excise
scratch	scrape	come up	scrape up
scrape	skin
set off	cancel	offset
summon	come up	muster	muster up	rally
summon	marshal	mobilize
run into	bump into	butt against	jar against	knock against
say	tell	order	enjoin
tell	assure
verify	affirm	swear	swan	assert	assure	avow
swear	depose
swear	bank	trust	calculate	depend	reckon	rely
tramp	wander	ramble	cast	drift	range	swan	roam	rove	stray
wander	cheat	betray	cheat on
shit	betray	rat	shop	denounce	give away	grass	snitch	stag	tell on
shit	crap	defecate	stool	take a crap	take a shit
wander	meander	wind	thread	weave
say	pronounce	articulate	enunciate	sound out	voice
say	pronounce	articulate	enunciate	round	sound out
say	pronounce	accent	accentuate	articulate	enunciate	sound out	stress
scold	bawl out	berate	call down	call on the carpet	chew out	chew up	chide	dress down	jaw	lecture	rag	rebuke	reprimand	take to task
scold	grumble
scoop	best	outdo	trump
score	mark
score	seduce
seize	take over	appropriate	assume	conquer	usurp
seize	attach	confiscate	impound	sequester
withdraw	seclude	sequester
select	choose	take	panel	pick out
select	choose	take	field	pick out
select	choose	take	go	pick out	plump
select	choose	take	elect	pick out
select	choose	take	assign	pick out	set apart	specify
select	choose	take	determine	limit	pick out	specify
select	choose	take	adopt	espouse	pick out
select	choose	take	nominate	pick out	propose
select	choose	take	pick out	vote
state	express	vote
send	mail	post	express
send	mail	post	register
send	ship	transport
send	post	place	site	station
send	send out
send	direct	contrive	project
send	direct	route
send	direct	refer
take	aim	direct	train	sight	take aim
take	carry	pack
train	trail
set	adjust	correct
set	fix	set up	ready	gear up	prepare	prime
set	plant	bed
set	fix	define	determine	limit	specify
set	mark
shake	rock	sway
swing	sway
swing	swing over
swing	swing out
swing	dangle
shake	agitate
sharpen	edge
shed	slough
shed	spill	pour forth
shift	dislodge
shift	transfer
shift	budge	agitate	stir
shift	tilt	wobble	careen
switch	shift	change	transition
switch	shift	change over
transfer	assign
transfer	distribute
transfer	change
wobble	shimmy
shine up	sidle up	cotton up	cozy up	play up	suck up
shove	thrust	stuff	squeeze
stuff	choke up	lug
stuff	gorge	binge	glut	overeat	pig out	scarf out
show	connote	evince	express	imply
show	evince	evoke	express	paint a picture	suggest
show	articulate	evince	express	formulate	give voice	phrase	word
show	accent	accentuate	emphasize	evince	express	punctuate	stress
utter	express	give tongue to	voice
utter	express	give tongue to	represent
utter	let out	let loose	emit
show	picture	depict	illustrate	render
translate	interpret	render
translate	transform
translate	interpret	understand
show	project
sign	bless
sign	signal	flag
sign	sign on	contract	sign up
sink	fall off	slump
slide down	sink	slump
sit	ride
sit	model	pose	posture
slow	retard	slow down	slow up	slowly
slow	delay	detain	retard	slow down	slow up
slow	slack	slacken	slow down	slow up	slowly
wait	hold off	hold back	delay
stay	delay	detain
smother	surround
smother	suffocate
strangle	smother	muffle	repress	stifle
strangle	cramp	halter	hamper
strangle	choke	gag	suffocate
sort	sort out	assort	class	classify	refer	separate
sort	sort out	assort	class	classify	separate	size
sort	sort out	assort	class	classify	group	separate
sound	vocalise	vocalize	voice
sound	prepare
vocalise	vocalize	articulate	enunciate
speak	address
spin	whirl	gyrate	spin around	reel
spin	whirl	twirl
whirl	swirl	eddy	whirlpool
whirl	tumble	whirl around
spit	skewer
splash	spatter	splatter
splash	slosh	slush
sprinkle	spit	patter	spatter
squish	splash	squelch	slop	slosh
squeeze	squash	crush	mash	squelch
swill	slop
wedge	force	squeeze	impact
squeeze	force	coerce	pressure
squeeze	wring	extort	gouge	rack
torture	torment	rack
torment	crucify	dun	frustrate	rag
wring from	extort
steer	point	head	direct	channel	guide	maneuver
steer	point	head	direct	corner	guide	maneuver
take	lead	direct	conduct	guide
take	get hold of
transfer	transmit	channel	project	transport
suck	suck in
suck in	draw in
suckle	nurse	suck	breastfeed	give suck
switch	flip	throw
throw	cast	contrive	project
throw	hurl
tackle	harness
take	remove	take away
take out	take away
take out	ask out	invite out
take	acquire	take on	adopt	assume
take	bring	convey	tube
take	bring	channel	conduct	convey	impart
take	have	accept	admit
take	have	accept	honor
take	have	accept	adopt
take	ask	call for	demand	need	require	cost	involve	necessitate	postulate
take on	take over	adopt	assume
take on	tackle	undertake
take on	accept	admit
take over	relieve
take over	accept	bear	assume
take over	buy out	buy up
take over	repeat
take up	take over	borrow	adopt
take over	absorb
take up	scoop	scoop up	lift out	scoop out
take in	take up	imbibe	suck	soak up	absorb	sop up	suck up
take in	take up	suck in	sop up
take up	resume
undertake	guarantee
talk	lecture
teach	instruct	learn	lecture
teach	instruct	learn	coach
teach	instruct	learn	condition
train	condition	discipline
undertake	condition	contract	qualify	specify	stipulate
undertake	charter	contract	hire
undertake	take in charge
watch	check	see	learn	find out	ascertain	determine
talk	sing	babble	babble out	let the cat out of the bag	peach
talk	speak	utter	mouth
talk	spill
talk	speak	cheek
tell	recite	narrate	recount	relate
throw	drop	cast	shed	throw off	throw away	cast off	shake off
throw off	escape from	shake off
tighten	reduce
tighten	constrict	narrow
tighten	compact	constrict	contract
tighten	strain
tighten	stiffen	constrain	tighten up
touch	touch on	affect	bear on	bear upon	impact	process	treat
touch	touch on	affect	bear on	bear upon	impact	inconvenience	trouble
touch	touch on	act upon	affect	bear on	bear upon	impact	influence
touch	disturb
touch	touch on	come to	affect	bear on	concern	involve	pertain	refer	regard	relate
touch	meet	abut	adjoin	border	butt	butt against	butt on	contact	edge
touch	meet	adjoin	border	contact	skirt	surround
touch	touch on	come to	bear on	concern	interest	matter to	pertain	refer	relate
worry	concern	interest	occupy
turn	twist	wrench	sprain
turn	twist	bend	deform	flex
twist	distort	twine
twist	wind	curve
wring	contort	deform	distort
wring	wrench
wake	awake	awaken	waken	wake up	arouse	come alive
wake	ignite	heat	fire up	inflame	stir up
wake	awaken	rouse	waken	wake up	arouse
wink	blink	blink away
wink	blink	flash	twinkle
work	knead	proof
work	shape	forge	form	layer	mold
work	shape	forge	form	machine	mold
work	shape	forge	form	hill	mold
work	shape	forge	form	model	mold
write	drop a line
write	compose	instrument
write	compose	pen	profile
write	spell
write	adopt	compose	dramatize	pen
write	compose	draft	pen
write	cite	compose	pen	reference
write	issue	write out
write	publish
